L1=0,L2=0,N=464
0X1.1730A7622BCACP+4	-0X1.8EE738E111C08P-3	0X1.CF0323FF1F06BP+0	-0X1.4C7DB4783DBDP-3	
0X1.1730A5A135452P+4	-0X1.C22E7DCEF3C9CP-1	-0X1.9223708CDE86P+0	0X1.3B17D1AA40918P-2	
0X1.C936B3520ACCAP+3	-0X1.2F8A2A37A584AP-2	0X1.FAED08398298AP+0	-0X1.50EA83BD17B12P-3	
0X1.C936B2E6A7D4BP+3	-0X1.09E8345D9FB7EP+0	-0X1.AF424CF8D89E8P+0	0X1.617DA6D0399E8P-2	
0X1.D67D68220975EP+3	0X1.257BCC812105AP+1	-0X1.03E0957FD7358P-1	-0X1.3DC37635315F1P-2	
0X1.61A584E7045FP+3	-0X1.7BB208415DEBAP-1	-0X1.519E1C4BDDCCEP+0	0X1.09140ED6E488CP-2	
0X1.61A581A89D2CP+3	-0X1.554249BAF15E1P-3	0X1.8516A46467BBAP+0	-0X1.166AB51FA7C0AP-3	
0X1.9D6CAD696C18EP+3	0X1.0CC5E04E68408P+1	-0X1.DBFC182C40054P-2	-0X1.230269F2C42E9P-2	
0X1.47ED538362EDEP+3	-0X1.D7D554EDDB523P-4	0X1.F8ED825B866BP-1	-0X1.64BBBBDB8EF1FP-4	
0X1.47ED512E90348P+3	-0X1.F359BBD732B48P-2	-0X1.B497E61A5E886P-1	0X1.59756218AAFCFP-3	
0X1.072465776817AP+3	-0X1.88457CD2576E9P-4	0X1.84C6BECEB90FEP-1	-0X1.0E0FDEEED55D2P-4	
0X1.07246374000BP+3	-0X1.871AD5C88B1EP-2	-0X1.4EA073E96CD1FP-1	0X1.0B70801531BF6P-3	
0X1.D70A98A9FA335P+2	0X1.07133EE3B832EP+0	-0X1.D1E722EBC8C4P-3	-0X1.1CD6DCD56CD3AP-3	
0X1.1A873A3199DAFP+3	0X1.491DF77BB3018P+0	-0X1.236E49C3D771AP-2	-0X1.6458497359FFEP-3	
