L1=0,L2=0,N=28
0X1.1C9DDA85FE35FP+4	
0X1.1BF12441F4A12P+4	
0X1.C980161DBB4DCP+3	
0X1.18D39676239BBP+4	
0X1.ECA1E2FA0EF34P+3	
0X1.2BF71021AE67AP+3	
0X1.031B5C474F8BP+4	
0X1.9BCBA893237CCP+3	
0X1.B8F4EB354447AP+3	
0X1.A2B35C541C301P+3	
0X1.0A618983CD407P+3	
0X1.EF84986E131BFP+2	
0X1.DBC06CCAAFDC3P+2	
0X1.0483856571E42P+2	
0X1.3766020E13B6EP+2	
0X1.A0DE14D6991F1P+2	
0X1.1F7E9548FE6D7P+2	
0X1.53DEBD4F13EDBP+2	
0X1.1C50A3ECDC051P+2	
0X1.082946B890533P+1	
0X1.B31F23C7FE88P+1	
0X1.093FC8C2A4B2CP+1	
0X1.18670003525F2P+1	
0X1.1F6A95FD13C48P+0	
0X1.FB1EA50EA81FBP-1	
0X1.FD927FB8A2786P-2	
0X1.1093DE545EA31P-1	
0X1.E155927A6B886P-3	
L1=0,L2=1,N=42
0X1.F1FED0BDA4114P+7	0X1.1CCA52D67D2D4P-37	-0X1.B9FEFB96C1ACBP-36	-0X1.0B522B5E9768EP-35	
0X1.9D7224B541E5P+7	0X1.D7AFC156A5732P-38	-0X1.71BDC37178C34P-36	-0X1.ABDAFA11A8FF6P-36	
0X1.10B92BC13F6ECP+7	0X1.36D65F8977214P-38	-0X1.E7D53411F7637P-37	-0X1.1C8D1304CE224P-36	
0X1.403E5ACE2F8D4P+7	0X1.73C2CB070AB06P-38	-0X1.16BCF2FC26D78P-36	-0X1.3CC5D29830AE6P-36	
0X1.13A7BF8F6D91CP+7	0X1.3B68BE8E2CDD7P-38	-0X1.EBBDBC480F7E6P-37	-0X1.19684838D7A5AP-36	
0X1.09EBE6E358B98P+7	0X1.44B227B12B187P-38	-0X1.898D0C1507078P-37	-0X1.21E1C774486A5P-36	
0X1.863AB07315AC5P+6	0X1.6E1CC207604D2P-39	-0X1.3B7AF7DA2B2E5P-37	-0X1.6FF7E34B3795BP-37	
0X1.A2D36326A3899P+6	0X1.DE7E9A4A55AEFP-39	-0X1.20B2A12575EB4P-37	-0X1.8437C8B35AD08P-37	
0X1.F5609D5E75D22P+5	0X1.141F6AA70EC97P-42	-0X1.09C42BE8C166AP-37	-0X1.8A6873018ADFP-38	
0X1.E4341C745D50AP+5	0X1.5128081B0F42BP-38	-0X1.F3F2FA03701FBP-38	-0X1.1B1CB18A98352P-37	
0X1.1482FE550BDBBP+6	0X1.2B0EFB0EA4766P-38	-0X1.05E7852F814A2P-37	-0X1.13AD73181E06FP-37	
0X1.1C1CAC0F38434P+6	0X1.D8CFB0DF835E7P-40	-0X1.8FF5AD7B0DFF7P-39	-0X1.69F422E7BE7E5P-37	
0X1.E8E47E48B2A78P+5	0X1.9DAEEF3C35C46P-40	-0X1.594D40B268C28P-39	-0X1.3812D7B8ED337P-37	
0X1.E12A36524CA6EP+5	0X1.A5D63138E4FD8P-40	-0X1.3B0BAD1812793P-40	-0X1.CC8B4BC821FE8P-38	
0X1.63C130C971527P+5	-0X1.05BABA7085967P-42	-0X1.E6C7488ABB221P-39	-0X1.66855DCC6C9B7P-38	
0X1.EC6B0C58B283CP+4	0X1.5B05FFF371C35P-40	-0X1.5F5BD71A0E20FP-39	-0X1.5F1C19B8FA218P-38	
0X1.26DBE0AEE342BP+5	0X1.690B6ECB570CDP-41	-0X1.77E4585E42FBCP-39	-0X1.6082D39BFBF3CP-38	
0X1.4B8D67F9C16CAP+5	0X1.9C1EFF25DD868P-41	-0X1.1FEF91EC3E174P-39	-0X1.51149597FF5E4P-38	
0X1.4CD0062279CP+5	0X1.B18AB8C602AD6P-40	-0X1.833837AFFCD88P-49	-0X1.4FD8DD5B763P-38	
0X1.77687767697AP+4	0X1.2738661AE7705P-40	-0X1.116A2BFF91334P-39	-0X1.0F6EC3BA120DFP-38	
0X1.35E846664ABBAP+5	0X1.CEC630B4045DCP-40	0X1.454C063A7795CP-41	-0X1.3384B0292F532P-38	
0X1.0F11DEA4BC226P+5	0X1.FCEBE06E0BC23P-40	0X1.5AB881317B8A4P-40	-0X1.EFF29B92CE793P-39	
0X1.BCDFEFB46D7D4P+4	0X1.DFAE6C50CA0D8P-42	-0X1.E50FA4D562C1EP-40	-0X1.5C2DCA6B30CFCP-39	
0X1.14362566518D4P+4	0X1.C343181EAC175P-41	-0X1.1630C089DE026P-38	0X1.99DBEF33DA249P-40	
0X1.44E70E04B2068P+4	0X1.81B337C3C522AP-40	0X1.EB67009883F0EP-42	-0X1.0724513810A1CP-40	
0X1.1FDF5CF07B75FP+4	0X1.5A2470E1C6F79P-40	-0X1.C53F2A9BE7437P-44	-0X1.35F6F0B824F19P-40	
0X1.07A166BB33575P+3	-0X1.5E155B59A960DP-41	-0X1.33804362B9339P-40	0X1.28F67C86E67BAP-44	
0X1.DBB739357F4B1P+2	0X1.351350C41A373P-40	0X1.5ACFA4BA61A2DP-41	-0X1.A14165F0A5175P-39	
0X1.24B17E674F2F2P+3	0X1.031F2E4B15DD2P-39	0X1.2A82D6139D6DBP-41	-0X1.E96F7065FE714P-39	
0X1.5BE3250C39178P+3	0X1.64E66E3770357P-39	0X1.02BA5F2FC94C2P-40	-0X1.27837EA5F71CDP-38	
0X1.8A3A14B64C17AP+3	0X1.B42D9C21DB50CP-39	0X1.1019863F497E3P-39	-0X1.656F519A51476P-38	
0X1.900C7A53B4A51P+3	0X1.AFE4A604CAD9EP-39	0X1.6515AA06AF99AP-39	-0X1.5C75F92E566F9P-38	
0X1.411A2BE979282P+3	0X1.4ED2E094BC29P-39	0X1.0985335CBC5A9P-40	-0X1.1397F8C5CEF28P-38	
0X1.5A5931A59F12AP+3	0X1.3CF1FFDC08074P-39	0X1.2595137C286A8P-39	-0X1.F5FE06DA606B1P-39	
0X1.6DC8E46765D22P+2	0X1.3CC22DF200AC9P-38	0X1.58800B1B5E607P-38	-0X1.6F9683C224B58P-37	
0X1.C16F38D3F12F1P+1	0X1.E56B909628668P-39	0X1.55DFA8122F9C7P-39	-0X1.B67C5C283ACE7P-38	
0X1.155C2CD33551CP+2	0X1.CAA06E12692C3P-39	0X1.0A4A5A50598C9P-39	-0X1.7F5064B9D1C53P-38	
0X1.4BC47DE02EC77P+2	0X1.8D2A6FA51CD83P-39	0X1.B13088C8F5DA8P-40	-0X1.40964D792C3A8P-38	
0X1.7D995115ACE52P+2	0X1.48B174DE68E41P-39	0X1.AD3B7D324C5DBP-40	-0X1.0AF6AA98F7E7EP-38	
0X1.8F87A39B7846AP+2	0X1.082795C3DAE4AP-39	0X1.ACE4702BE7737P-40	-0X1.AA654B09BBF46P-39	
0X1.72FE9525D202FP+2	0X1.674A5054DF68EP-40	0X1.43DD9EA712B9AP-40	-0X1.19862C668CCF9P-39	
0X1.4CC85AA24A68FP+1	0X1.91A2ED030A214P-38	0X1.C6356BD573DA6P-39	-0X1.2B91A45A0CF3CP-37	
L1=0,L2=2,N=42
0X1.6C2DA9227A6ADP+11	0X1.818A2A877222AP-34	-0X1.656502195602FP-32	-0X1.4FE375A33E439P-32	0X1.3BDF2788AF5ABP+3	0X1.99F00D6EB648BP+7	-0X1.BA6B2ADA29B52P+5	0X1.63C7FC7C1394AP+6	-0X1.45952F68BF2DFP+7	-0X1.5F4B35846751EP+9	
0X1.43064E0AAA1FP+11	0X1.5D6914BF690C6P-34	-0X1.366D9D0E13714P-32	-0X1.28A6DC2961F5DP-32	0X1.F24B3F479228P+2	0X1.4E66B00F4251EP+7	-0X1.6D77D3D17C288P+5	-0X1.B58D256CC5FC9P+6	-0X1.3BAAEB53CBF68P+8	-0X1.79F6A85FF1283P+9	
0X1.BE78789EE05C6P+10	0X1.E99E65CDDAEE4P-35	-0X1.A660955858B4CP-33	-0X1.992DF43F67124P-33	0X1.440E06B2A5C4FP+2	0X1.B9C8B0766986BP+6	-0X1.E5A69DA44E237P+4	-0X1.1E4FDE977F9D8P+7	-0X1.17B3E896292D8P+8	-0X1.1D3F4672968DCP+9	
0X1.91F491F136842P+9	0X1.BB6974FD9C81CP-36	-0X1.77ABA922A4CF9P-34	-0X1.6F7D2AD3B8519P-34	0X1.18337BED441ABP+1	0X1.81A3A7A9A005FP+5	-0X1.A975A03F8DE76P+3	-0X1.52F39936722BAP+6	-0X1.20D2E879AA7FP+7	-0X1.0F52850B19591P+8	
0X1.8B52BEB66B04FP+9	0X1.C4D90B208B78AP-36	-0X1.5AC7451CBDA17P-34	-0X1.6744D78593FE8P-34	0X1.D82726359CE7FP+0	0X1.4DE7D3D67F8C3P+5	-0X1.749FA23AB704BP+3	-0X1.424EB7ACF6DEP+7	-0X1.AA10E403EE8FP+7	-0X1.42E51DCA0900EP+8	
0X1.8832D0FC3EAP+9	0X1.E446CB2C0B532P-36	-0X1.2E104761285CDP-34	-0X1.61FFD9F6BA27DP-34	0X1.8545528F8C8EAP+0	0X1.13601D327CDDDP+5	-0X1.355A9127A61A9P+3	-0X1.01A3497F00104P+8	-0X1.2C82687FD336EP+8	-0X1.87196A148DEDP+8	
0X1.12118459BA7B9P+9	0X1.26BDC695EA8A2P-36	-0X1.08F02382F72CBP-34	-0X1.F7C5B67F1C38AP-35	0X1.B265A6F7E68C3P+0	0X1.215E8EE972F58P+5	-0X1.3B61E4B822C1P+3	-0X1.BF1855F393D09P+3	-0X1.D46C30CAC1B2EP+5	-0X1.33996D7BC1B26P+7	
0X1.9B74F5647A412P+8	0X1.C62F9C644585FP-37	-0X1.7F310A217BDF8P-35	-0X1.77EB4BEFE48DDP-35	0X1.1BD8D1202F588P+0	0X1.879094D2DA5B7P+4	-0X1.B061F0614065CP+2	-0X1.70838151ABC18P+5	-0X1.317A473AED866P+6	-0X1.1998E844E82DAP+7	
0X1.E591A968E9193P+8	0X1.4A8898D27EAFAP-36	-0X1.391F8B09872DFP-35	-0X1.BA1A2B722EAF3P-35	0X1.A726FD1C0915CP-1	0X1.1E232692FD3A6P+4	-0X1.3FE8804CB701P+2	-0X1.9C884D540A147P+7	-0X1.C8F7BAE221A6P+7	-0X1.138D042DCCCBBP+8	
0X1.12029B01ABA98P+8	0X1.81BC90CD0F2B2P-37	-0X1.409EBA0392432P-36	-0X1.01B5A30683A8BP-35	0X1.CE165075F831AP-2	0X1.315AAE6EEBF2P+3	-0X1.54184D5831DB3P+1	-0X1.EE3634984D1ADP+6	-0X1.0EC66BB34F058P+7	-0X1.4101759F4707DP+7	
0X1.F5B3CB96C8207P+7	0X1.70A4BB76CE4C1P-37	-0X1.0F1EA313DC917P-36	-0X1.DB2BA74CF0B5P-36	0X1.9B0E66E2B4624P-2	0X1.08A5412C4986DP+3	-0X1.25588653638D6P+1	-0X1.DBDE3ECE3CD96P+6	-0X1.0267A514ADF0BP+7	-0X1.2DF11F9043877P+7	
0X1.71B407156E87P+7	0X1.C41979E4F357FP-38	-0X1.206DF9FBA6BABP-36	-0X1.5E6E5B43D81A5P-36	0X1.84213E6C71D14P-2	0X1.140DE33157BAFP+3	-0X1.35D78F69EAA9EP+1	-0X1.AC181FFE47E2FP+5	-0X1.0104A6BEB9A8EP+6	-0X1.5BD58A27C02AP+6	
0X1.E287CF67F9ABEP+7	0X1.D2EA5DA3B3E05P-37	-0X1.E576DFCB298DFP-39	-0X1.F76E907E2A8D4P-36	0X1.533F460AA2762P-2	0X1.420B27F4E3F7FP+2	-0X1.4957B98535F89P+0	-0X1.1C3E5040612D8P+7	-0X1.284C4AC44FDDCP+7	-0X1.42D0BF293B316P+7	
0X1.898C4DE53AD6FP+6	0X1.C3366BB4C147AP-39	-0X1.1D39F78A637DP-37	-0X1.E9CC094EDDA3EP-37	0X1.2CC46EAF86E8EP-2	0X1.94ACD74FFDDDEP+2	-0X1.BAAC99624CDB6P+0	-0X1.2E765BE7040EAP+2	-0X1.90F144863CE18P+3	-0X1.D2DB7A251C867P+4	
0X1.499E6921D6B1EP+7	0X1.5C13E5C2FD13CP-37	0X1.2916C37B8E327P-40	-0X1.68B5F1A67DFBCP-36	0X1.B9C98D96A5384P-3	0X1.6A8F0585DA3B9P+1	-0X1.5ECC1D1C7D8A2P-1	-0X1.8BC7055C3D051P+6	-0X1.991135E9CF0FEP+6	-0X1.B6EF5BC191B9DP+6	
0X1.8EF5B2F003864P+6	0X1.C9B1A7D1B97E2P-39	-0X1.2A2C642C06C19P-37	-0X1.D15AA4E2752A8P-37	0X1.11A209BD7F3DEP-2	0X1.79F3EA36C53B5P+2	-0X1.A18E56069E13CP+0	-0X1.70F4A0EAE5ABDP+3	-0X1.2D8152F4A4D82P+4	-0X1.132167DE30238P+5	
0X1.197BEFB8412D9P+6	0X1.D72AC523A1FBFP-40	-0X1.9AFAE4C5F1D6FP-39	-0X1.6D17A2CD4F0DP-37	0X1.D23637A5026D3P-4	0X1.2F4F286559E34P+1	-0X1.50DDE95FA06CCP-1	-0X1.060F8050F90B6P+5	-0X1.1D8ACBE7E8087P+5	-0X1.4F7039A2DF36P+5	
0X1.441AB477F9318P+6	0X1.0EA2DF89121C7P-38	0X1.04AD6D9BD8EBDP-39	-0X1.59850E6A5703DP-37	0X1.8F0D2951445F2P-4	0X1.08EAC0489893EP+0	-0X1.CB7D7C38998AEP-3	-0X1.7C44A6440DEA1P+5	-0X1.859D4BCF539A1P+5	-0X1.9B71C0C30F09CP+5	
0X1.791249C4F99A6P+5	0X1.2284A235B71A2P-39	-0X1.C6945B745E614P-40	-0X1.8120B78C7AE0FP-37	0X1.027491752CE94P-3	0X1.6509C7E748E3BP+1	-0X1.8A78966FD4386P-1	-0X1.5DEC9FDE4952FP+2	-0X1.1D840A2F62FD4P+3	-0X1.0440C7BA5ABDEP+4	
0X1.26F150CE24EE2P+6	0X1.2EA24886777C2P-38	0X1.DDF2164825E02P-39	-0X1.228DD9979B6FFP-37	0X1.2E36507F227A7P-4	0X1.3263B5723CCA8P-1	-0X1.A7A442C67976CP-4	-0X1.33325DB411706P+5	-0X1.384117FCE49A6P+5	-0X1.44D95906882D8P+5	
0X1.BC52F4E6A2AFFP+5	0X1.75BFB80275BCP-41	-0X1.67EFD72772D4AP-39	-0X1.9D7DCE939BB29P-38	0X1.5334F9B0A917DP-4	0X1.8BA1CB81681DDP+0	-0X1.AD3A1D94D8E8EP-2	-0X1.D9A00AF9FF2EDP+4	-0X1.F7F3C349556FCP+4	-0X1.1C8768D0C11A2P+5	
